Date Created,Duration,Date Digitized,Physical Format,Episode Number,Program Title,Series Title
1/17/2005,1:30:00,,DVCPRO,,2005,Martin Luther King Day tribute
1/15/2007,0:58:46,,DVCPRO,,2007,Martin Luther King Day tribute
1/19/2004,0.041666667,,D3,,2004,Martin Luther King Day tribute
1/19/2004,0.041666667,,D3,,2004,Martin Luther King Day tribute
1/19/2004,0.041666667,,VHS,,2004,Martin Luther King Day tribute
1/19/2009,0.041666667,,Betacam SP,,2009 part 2,Martin Luther King Day tribute
1/19/2009,0.041666667,,DVCPRO,,2009,Martin Luther King Day tribute
1/18/2010,0.041666667,,Betacam SP,,2010,Martin Luther King Day tribute
1/18/2010,0.041666667,,Betacam SP,,2010,Martin Luther King Day tribute
1/18/2010,0.041666667,,Betacam SP,,2010 part 2,Martin Luther King Day tribute
1/18/2010,0.041666667,,Betacam SP,,2010 part 1,Martin Luther King Day tribute
1/19/2009,0.041666667,,DVCPRO,,2009,Martin Luther King Day tribute
1/19/2009,0.041666667,,DVCPRO,,2009,Martin Luther King Day tribute
1/19/2009,0.041666667,,DVD,,2009,Martin Luther King Day tribute
1/19/2009,0.041666667,,VHS,,2009,Martin Luther King Day tribute
1/17/2011,0.041666667,,DVD,,2011,Martin Luther King Day tribute
1/18/2010,0.041666667,,DVD,,2010,Martin Luther King Day tribute
1/18/2010,0.041666667,,Betacam SP,,2010,Martin Luther King Day tribute
1/17/2011,0.041666667,,HDCAM,,2011 tape 2,Martin Luther King Day tribute
1/17/2011,0.041666667,,HDCAM,,2011 tape 1,Martin Luther King Day tribute
1/17/2011,0.041666667,,HDCAM,,Highlights,Martin Luther King Day tribute
1/17/2011,0.041666667,,HDCAM,,2011,Martin Luther King Day tribute
1/17/2011,,,HDCAM,,2011 tape 1,Martin Luther King Day tribute
1/17/2011,0:15:00,,HDCAM,,2011 host open/close,Martin Luther King Day tribute
1/17/2011,,,HDCAM,,2011 tape 1,Martin Luther King Day tribute
1/17/2011,0:30:00,,HDCAM,,2011 tape 2,Martin Luther King Day tribute
1/17/2011,0:30:00,,HDCAM,,2011 tape 2,Martin Luther King Day tribute
1/17/2010,0.041666667,,HDCAM,,2011 highlights,Martin Luther King Day tribute
1/19/2009,0.041666667,,Betacam SP,,2009 part 2,Martin Luther King Day tribute
1/18/2010,0.041666667,,DVD,,2010,Martin Luther King Day tribute
1/19/2009,0.041666667,,DVCPRO,,2009,Martin Luther King Day tribute
1/17/2011,0.041666667,,DVD,,2011,Martin Luther King Day tribute
1/17/2011,0.041666667,,DVD,,2011,Martin Luther King Day tribute
1/17/2000,0:56:10,,D3,,2000,Martin Luther King Day tribute
1/17/2000,0:56:10,,VHS,,2000,Martin Luther King Day tribute
2000-01-17?,0:56:10,,D3,,2000,Martin Luther King Day tribute
2000-01-07?,0:56:10,,D3,,2000,Martin Luther King Day tribute
1/19/2009,0:58:00,,Betacam SP,,2009,Martin Luther King Day tribute
1/20/2003,0.041666667,,D3,,2003,Martin Luther King Day tribute
3/1/1994,0.041666667,,Betacam SP,,"Woody ornamentals, part 1",Master gardener
2/1/1994,1:30:00,,VHS,,Backyard wildlife,Master gardener
3/1/1994,0.041666667,,Betacam SP,,"Woody ornamentals, part 2",Master gardener
1/27/1994,0.041666667,,1 inch videotape,,Backyard wildlife,Master gardener
1/27/1994,0.041666667,,1 inch videotape,,Backyard wildlife,Master gardener
1/11/1993,2:00:00,,1 inch videotape,,Backyard wildlife,Master gardener
2/1/1994,0:59:30,7/24/2013,Betacam SP,,"Backyard wildlife, part 1",Master gardener
2/1/1994,0.041666667,2013-08,Betacam SP,,"Backyard wildlife, part 2",Master gardener
n.d.,0:30:00,,Betacam SP,,,Master gardener
n.d.,0:30:00,,Betacam SP,,worktape,Master gardener
n.d.,0:30:00,,Betacam SP,,,Master gardener
7/6/1992,0:30:00,,1 inch videotape,0,Pilot,Medical matters
7/6/1992,0:30:00,,1 inch videotape,0,Pilot worktapes,Medical matters
1992,0:30:00,,Betacam SP,0,Pilot background 8,Medical matters
1992,0:30:00,,Betacam SP,0,Pilot worktape 7,Medical matters
7/8/1992,0:34:00,,1 inch videotape,0,Pilot,Medical matters
7/20/1992,0:30:00,,1 inch videotape,101,Medical matters with Dr. Ted Goodfriend,Medical matters
7/20/1992,0:30:00,,3/4 inch videotape,101,Medical matters with Dr. Ted Goodfriend,Medical matters
7/27/1992,0:27:46,,3/4 inch videotape,102,Heart disease,Medical matters
7/27/1992,0:27:46,,1 inch videotape,102,Heart disease,Medical matters
8/3/1992,0:27:46,,3/4 inch videotape,103,Neurological disease of the elderly,Medical matters
8/3/1992,0:27:46,,1 inch videotape,103,Neuro diseases of the elderly,Medical matters
n.d.,unknown,,Film: 16mm,,Summertime in music,Music clinic
n.d.,,,Film: 16mm,,Summertime in music,Music clinic
n.d.,,,Film: 16mm,,Summertime in music (Duets),Music clinic
n.d.,,,Film: 16mm,,Summertime in music,Music clinic
n.d.,,,Film: 16mm,,Summertime in music,Music clinic
n.d.,,,Film: 16mm,,Music try-outs (Chadbourne Hall),Music clinic
n.d.,,,Film: 16mm,,Girls; Historical music in Madison,Music clinic
n.d.,unknown,,Film: 16mm negative,,"Nixon/Kennedy debate 3, part 1",National debates
n.d.,unknown,,Film: 16mm negative,,"Nixon/Kennedy debate 4, part 2",National debates
n.d.,unknown,,Film: 16mm negative,,"Nixon/Kennedy debate 1, part 2",National debates
n.d.,0:30:00,,Betacam SP,,Nixon/Kennedy debate; Carter at Democratic National Convention,National debates
n.d.,0:00:30,,Betacam SP,,National Republican Senatorial Committee: Sides with liberals TV spot,National politics
7/30/1965,0:15:00,,Betacam SP,,President Johnson signing Medicare bill,National politics
12/17/1990,0:07:00,,Betacam SP,,President Bill Clinton inauguration,National politics
9/14/1981,0:56:30,,3/4 inch videotape,,League of Women Voters: Federal Budget Issues Forum,National politics
2/4/1997,0:30:00,,Betacam SP,,Newshour special: Clinton State of Union,National politics
6/6/1987,0:30:00,,3/4 inch videotape,,"Republican convention, no. 2",National politics
4/16/1987,0:30:00,,3/4 inch videotape,,Republican convention,National politics
1984,0:30:00,,3/4 inch videotape,,GOP Convention 1984: Reagan acceptance speech Tape 2,National politics
1984,0:30:00,,3/4 inch videotape,,GOP Convention 1984: Reagan acceptance speech Tape 1,National politics
1984,0:30:00,,3/4 inch videotape,,GOP Convention 1984: Reagan acceptance speech Tape 1,National politics
1/20/1993,0:30:00,,Betacam SP,,Bill Clinton inauguration 1993: Washington DC [1993/01/20],National politics
3/27/2000,0:30:00,,Betacam SP,,"Al Gore and Russ Feingold, part 4: Milwaukee, WI",National politics
10/9/1996,1:33:41,,Betacam SP,,Al Gore-Kemp debate,National politics
10/24/1997,0:30:57,,Betacam SP,,"Al Gore at WEAC Convention, part 2: Madison, WI, Dane County Expo Center",National politics
10/24/1996,0:30:00,,Betacam SP,,"Al Gore at WEAC Convention, part 1: Madison, WI, Dane County Expo Center",National politics
3/25/1988,0:30:00,,3/4 inch videotape,,"Al Gore campaigns in Racine: Racine, WI, Racine Steel Castings",National politics
2002,0:30:00,,Betacam SP,,"Al Gore at Milwaukee Legion convention: Milwaukee, WI",National politics
3/27/2000,0:30:00,,Betacam SP,,"Al Gore and Russ Feingold, part 1: Milwaukee, WI",National politics
3/27/2000,0:30:00,,Betacam SP,,"Al Gore and Russ Feingold, part 2: Milwaukee, WI",National politics
3/27/2000,0:30:00,,Betacam SP,,"Al Gore and Russ Feingold, part 3: Milwaukee, WI",National politics
7/13/2000,0:30:00,,Betacam SP,,"Al Gore/Bradley in Green Bay, part 2",National politics
7/13/2000,0:30:00,,Betacam SP,,"Al Gore/Bradley in Green Bay, part 3",National politics
n.d.,unknown,,Film: 16mm,,President Kennedy press conference [part],National politics
ca. 1984,unknown,,3/4 inch videotape,,President Reagan's Tax Proposal  in Oshkosh,National politics
1/25/1961,unknown,,Film: 16mm,,"President Kennedy news conference, no. 1",National politics
3/8/1961,unknown,,Film: 16mm,,"President Kennedy news conference, no. 6",National politics
3/15/1961,unknown,,Film: 16mm,,"President Kennedy news conference, no. 7",National politics
3/1/1961,unknown,,Film: 16mm,,"President Kennedy news conference, no. 5",National politics
2/8/1961,unknown,,Film: 16mm,,"President Kennedy news conference, no. 3",National politics
1/20/2009,2:30:00,,DVCPRO,,Presidential inauguration 2009,National politics
1/20/2009,1:15:00,,DVD,,Presidential inauguration 2009 part 1,National politics
1/20/2009,1:15:00,,DVD,,Presidential inauguration 2009 part 2,National politics
9/30/2004,0.041666667,,Betacam SP,,Presidential debate: George Bush and John Kerry,National politics
1950s,,,Film: 16mm,,Eisenhower press conference (N.E.T.R.C.?),National politics
1950s,,,Film: 16mm,,Eisenhower press conference,National politics
1960,0.041666667,,Betacam SP,,1960 Presidential primary,National politics
n.d.,0:30:00,,3/4 inch videotape,105,"Our families, our times",New dimension
1983/1985,0:30:00,,Betacam SP,,"50s fads, World War II",New tech times
9/26/1983,0:30:00,,3/4 inch videotape,101,,New tech times
10/11/1983,0:30:00,,3/4 inch videotape,102,,New tech times
10/17/1983,0:30:00,,3/4 inch videotape,103,,New tech times
10/31/1983,0:30:00,,3/4 inch videotape,104,,New tech times
10/26/1983,0:30:00,,3/4 inch videotape,105,,New tech times
11/4/1983,0:30:00,,3/4 inch videotape,106,,New tech times
10/31/1983,0:30:00,,3/4 inch videotape,107,,New tech times
11/15/1983,0:30:00,,3/4 inch videotape,108,,New tech times
11/21/1983,0:30:00,,3/4 inch videotape,109,,New tech times
12/5/1983,0:30:00,,3/4 inch videotape,110,,New tech times
12/7/1983,0:30:00,,3/4 inch videotape,111,,New tech times
12/9/1983,0:30:00,,3/4 inch videotape,112,,New tech times
1/10/1984,0:30:00,,3/4 inch videotape,112,,New tech times
12/20/1983,0:30:00,,3/4 inch videotape,113,,New tech times
12/19/1983,0:30:00,,3/4 inch videotape,114,,New tech times
1/10/1984,0:30:00,,3/4 inch videotape,115,,New tech times
1/13/1984,0:30:00,,3/4 inch videotape,116,,New tech times
1/23/1984,0:30:00,,3/4 inch videotape,117,,New tech times
1/24/1984,0:30:00,,3/4 inch videotape,118,,New tech times
2/7/1984,0:30:00,,3/4 inch videotape,119,,New tech times
2/10/1984,0:30:00,,3/4 inch videotape,120,,New tech times
2/21/1984,0:30:00,,3/4 inch videotape,121,,New tech times
2/22/1984,0:30:00,,3/4 inch videotape,122,,New tech times
3/6/1984,0:30:00,,3/4 inch videotape,123,,New tech times
3/20/1984,0:30:00,,3/4 inch videotape,125,,New tech times
3/21/1984,0:30:00,,3/4 inch videotape,126,,New tech times
4/3/1984,0:30:00,,3/4 inch videotape,127,,New tech times
4/4/1984,0:30:00,,3/4 inch videotape,128,,New tech times
1984,0:30:00,,3/4 inch videotape,165,,New tech times
1984,0:30:00,,3/4 inch videotape,166,Computer image,New tech times
9/24/1984,0:30:00,,3/4 inch videotape,201,,New tech times
10/11/1984,0:30:00,,3/4 inch videotape,202,,New tech times
9/27/1984,0:30:00,,3/4 inch videotape,203,,New tech times
9/27/1984,0:30:00,,3/4 inch videotape,204,,New tech times
10/5/1984,0:30:00,,3/4 inch videotape,205,,New tech times
10/10/1984,0:30:00,,3/4 inch videotape,206,,New tech times
11/15/1984,0:30:00,,3/4 inch videotape,207,,New tech times
11/1/1984,0:30:00,,3/4 inch videotape,208,,New tech times
12/6/1984,0:30:00,,3/4 inch videotape,210,,New tech times
12/13/1984,0:30:00,,3/4 inch videotape,211,,New tech times
12/12/1984,0:30:00,,3/4 inch videotape,213,,New tech times
12/20/1984,0:30:00,,3/4 inch videotape,214,,New tech times
12/19/1984,0:30:00,,3/4 inch videotape,215,,New tech times
12/12/1986,0:30:00,,3/4 inch videotape,216,,New tech times
2/14/1985,0:30:00,,3/4 inch videotape,217,,New tech times
12/12/1986,0:30:00,,3/4 inch videotape,218,,New tech times
1/31/1985,0:30:00,,3/4 inch videotape,219,,New tech times
11/24/1986,0:30:00,,3/4 inch videotape,220,,New tech times
11/24/1986,0:30:00,,3/4 inch videotape,221,,New tech times
3/21/1985,0:30:00,,3/4 inch videotape,222,,New tech times
3/28/1985,0:30:00,,3/4 inch videotape,223,,New tech times
4/4/1985,0:30:00,,3/4 inch videotape,224,,New tech times
3/20/1985,0:30:00,,3/4 inch videotape,225,,New tech times
3/21/1985,0:30:00,,3/4 inch videotape,226,,New tech times
8/27/1985,0:30:00,,3/4 inch videotape,301,,New tech times
9/4/1985,0:30:00,,3/4 inch videotape,302,,New tech times
9/17/1985,0:30:00,,3/4 inch videotape,303,,New tech times
9/24/1985,0:30:00,,3/4 inch videotape,304,,New tech times
10/1/1985,0:30:00,,3/4 inch videotape,305,,New tech times
10/8/1985,0:30:00,,3/4 inch videotape,306,,New tech times
10/15/1985,0:30:00,,3/4 inch videotape,307,,New tech times
10/22/1985,0:30:00,,3/4 inch videotape,308,,New tech times
10/29/1985,0:30:00,,3/4 inch videotape,309,,New tech times
11/5/1985,0:30:00,,3/4 inch videotape,310,,New tech times
11/12/1985,0:30:00,,3/4 inch videotape,311,,New tech times
11/19/1985,0:30:00,,3/4 inch videotape,312,,New tech times
10/17/1979,0.041666667,,3/4 inch videotape,615,All part of the game,NOVA
2/3/2009,0:30:00,,DVD,,,Office hours
2/3/2009,0:30:00,,HDCAM,,,Office hours
8/27/2009,0:30:00,,DVD,,,Office hours
8/27/2009,0:30:00,,HDCAM,,,Office hours
8/27/2009,0:30:00,,DVD,,,Office hours
8/27/2009,0:30:00,,HDCAM,,,Office hours
9/10/2009,0:30:00,,DVD,,,Office hours
9/10/2009,0:30:00,,HDCAM,,,Office hours
9/10/2009,0:30:00,,DVD,,,Office hours
2/4/2010,0:30:00,,HDCAM,,Guests: James Baughman and Dhavan Shah,Office hours
2/4/2010,0:30:00,,HDCAM,,Guests: James Baughman and Dhavan Shah,Office hours
2/25/2010,0:30:00,,HDCAM,,Guests: Paul Wilson and Greg Nemet,Office hours
3/11/2010,0:30:00,,HDCAM,,Guests: Jon Pevehouse and John Hall,Office hours
3/11/2010,0:30:00,,HDCAM,,Guests: Jake Vander Zanden and Philip Moy,Office hours
3/11/2010,0:30:00,,HDCAM,,Guests: Jake Vander Zanden and Philip Moy,Office hours
3/25/2010,0:30:00,,HDCAM,,Guests: Charles DeMets and Harold Tobin,Office hours
3/25/2010,0:30:00,,HDCAM,,Guests: Scott Straus and Michael Schatzberg,Office hours
3/25/2010,0:30:00,,HDCAM,,Guests: Tia Nelson and Gregg Mitman,Office hours
3/25/2010,0:30:00,,HDCAM,,Guests: Tia Nelson and Gregg Mitman,Office hours
9/7/2010,0:30:00,,HDCAM,,Guests: Charles Franklin and Karl Scholz,Office hours
11/4/2010,0:30:00,,HDCAM,,Guests: Richie Davidson,Office hours
11/4/2010,0:30:00,,Mini DV,,Guests: Sue Riseling and Dr. Sarah Van Orman,Office hours
11/4/2010,0:30:00,,DVD,,Guests: Sue Riseling and Dr. Sarah Van Orman,Office hours
11/4/2010,0:30:00,,HDCAM,,Guests: Sue Riseling and Dr. Sarah Van Orman,Office hours
11/18/2010,0:30:00,,HDCAM,,Guests: Seth Pollack,Office hours
11/18/2010,0:30:00,,DVCAM,,Guests: Jonathan Gray and Michael Xenos,Office hours
11/18/2010,0:30:00,,HDCAM,,Guests: Jonathan Gray and Michael Xenos,Office hours
12/1/2010,0:30:00,,HDCAM,,Guests: Joanne Cantor,Office hours
12/1/2010,0:30:00,,HDCAM,,Guests: Joanne Cantor,Office hours
9/10/2009,0:30:00,,HDCAM,,,Office hours
9/24/2009,0:30:00,,HDCAM,,Guests: Thomas Oliver and Charles Franklin,Office hours
9/24/2009,0:30:00,,HDCAM,,,Office hours
10/7/2009,0:30:00,,HDCAM,,,Office hours
10/7/2009,0:30:00,,HDCAM,,Guests: Tom O'Guinn,Office hours
10/22/2009,0:30:00,,HDCAM,,Guests: Sarah Van Oman and Chris Olsen,Office hours
10/22/2009,0:30:00,,HDCAM,,"Guests: Andrew Kydd, Paul Wilson",Office hours
2/11/2009,0:30:00,,HDCAM,,,Office hours
11/5/2009,0:30:00,,HDCAM,,Guests: Adam Gamoran,Office hours
11/5/2009,0:30:00,,HDCAM,,Guests: Caroline Levine,Office hours
11/19/2009,0:30:00,,HDCAM,,Guests: Tom Eggert and Dan Vimont,Office hours
11/19/2009,0:30:00,,HDCAM,,Guests: Charles Franklin and Susan Yackee,Office hours
12/3/2009,0:30:00,,HDCAM,,"Guests: John Bechtol, Ashley Kerr and Matthew Moran",Office hours
12/3/2009,0:30:00,,HDCAM,,Guests: Jon Pevehouse and Andrew Kydd,Office hours
2/11/2009,0:30:00,,HDCAM,,,Office hours
2/26/2009,0:30:00,,HDCAM,,,Office hours
2/26/2009,0:30:00,,HDCAM,,,Office hours
3/12/2009,0:30:00,,HDCAM,,,Office hours
3/12/2009,0:30:00,,HDCAM,,,Office hours
4/15/2009,0:30:00,,HDCAM,,,Office hours
4/28/2009,0:30:00,,HDCAM,,,Office hours
8/25/2009,0:30:00,,HDCAM,,Standard open,Office hours
2/4/2010,0:30:00,,HDCAM,,Guests: David Canon and Susan Yackee,Office hours
2/4/2010,0:30:00,,HDCAM,,Guests: David Canon and Susan Yackee,Office hours
4/15/2010,0:30:00,,HDCAM,,Guests: Andrew Kydd,Office hours
4/15/2010,0:30:00,,HDCAM,,Guests: Charles Franklin and Stephen Lucas,Office hours
4/29/2010,0:30:00,,HDCAM,,Guests: Dr. Aaron Carrel,Office hours
4/29/2010,0:30:00,,HDCAM,,Guests: Robert Drechesel and Kathleen Culver,Office hours
5/6/2010,0:30:00,,HDCAM,,,Office hours
5/6/2010,0:30:00,,DVD,,Guests: Ken Kavajecz and Mark Copelovitch,Office hours
5/6/2010,0:30:00,,HDCAM,,Guests: Ken Kavajecz and Mark Copelovitch,Office hours
5/6/2010,0:30:00,,HDCAM,,Guests: Ken Kavajecz and Mark Copelovitch,Office hours
12/1/2010,0:30:00,,HDCAM,,"Guests: Chris Walker, Danez Smith, and Sofia Snow",Office hours
12/1/2010,0:30:00,,HDCAM,,Guests: Senior Lecturer Nete Schmidt,Office hours
9/7/2010,0:30:00,,HDCAM,,Guests: Andrew Kydd and Jon Pevehouse,Office hours
9/22/2010,0:30:00,,HDCAM,,Guests: Morris Davis,Office hours
9/22/2010,0:30:00,,HDCAM,,Guests: John Coleman,Office hours
10/7/2010,0:30:00,,HDCAM,,Guests: Karma Chavez,Office hours
10/7/2010,0:30:00,,HDCAM,,Guests: Timothy Smeeding,Office hours
10/21/2010,0:30:00,,HDCAM,,Guests: Pamela Herd,Office hours
10/21/2010,0:30:00,,HDCAM,,Guests: Edward Friedman,Office hours
11/4/2010,0:30:00,,HDCAM,,Guests: Peter McIntyre,Office hours
12/22/1997,0:58:46,,1 inch videotape,,Chemistry Christmas: In the lab of Shakashiri,"Once upon a Christmas cheery, in the lab of Shakashiri"
1/11/1991,0.041666667,,1 inch videotape,,Shakashiri chemical demo,"Once upon a Christmas cheery, in the lab of Shakashiri"
1/11/1991,0.041666667,,1 inch videotape,,Shakashiri taping sessions,"Once upon a Christmas cheery, in the lab of Shakashiri"
1/10/1991,0.041666667,,1 inch videotape,,Shakashiri chemical demo,"Once upon a Christmas cheery, in the lab of Shakashiri"
2/26/1991,0.041666667,,1 inch videotape,,Shakashiri chemical demonstration,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/22/1997,0:58:46,,D3,,,"Once upon a Christmas cheery, in the lab of Shakashiri"
1996,0.041666667,,D3,,,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/22/1997,0:58:46,,Betacam SP,,,"Once upon a Christmas cheery, in the lab of Shakashiri"
1998,0:56:46,,Betacam SP,,,"Once upon a Christmas cheery, in the lab of Shakashiri"
1982/2002,0:57:46,,3/4 inch videotape,,Chemistry Christmas special,"Once upon a Christmas cheery, in the lab of Shakashiri"
1982/2002,0.041666667,,Betacam SP,,Shakhashiri Christmas special,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/17/1993,0:57:11,,Betacam SP,,Shakhashiri chemistry Christmas special,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/17/1993,0:57:11,,DVCPRO,,Shakhashiri chemistry Christmas special,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/17/1997,0:58:46,,D3,,,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/17/1997,0:58:46,,D3,,,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/16/1993,0:57:11,,1 inch videotape,,Chemistry Christmas : In the lab of Shakahsiri,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/9/1982,0.041666667,,1 inch videotape,,Chemistry Christmas special,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/8/2002,0.041666667,,1 inch videotape,,Chemistry Christmas show 1,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/1/2001,0.041666667,,1 inch videotape,,Chemistry Christmas show 2,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/2/2001,0.041666667,,1 inch videotape,,Chemistry Christmas show 1,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/3/2000,0.041666667,,1 inch videotape,,Chemistry Christmas show 2,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/3/2000,0.041666667,,1 inch videotape,,Chemistry Christmas show 1,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/6/1988,1:04:00,,1 inch videotape,,Chemistry remote,"Once upon a Christmas cheery, in the lab of Shakashiri"
3/25/1991,0:39:55,,1 inch videotape,,Shakashiri chemical demo reel 2,"Once upon a Christmas cheery, in the lab of Shakashiri"
3/13/1986,1:22:18,,1 inch videotape,,Chemistry can be fun,"Once upon a Christmas cheery, in the lab of Shakashiri"
3/25/1991,0:40:18,,1 inch videotape,,Shakashiri chemical demo reel 3,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/17/1996,0:56:46,,1 inch videotape,,Chemistry Christmas,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/20/1994,1:05:00,,1 inch videotape,,Chemistry Christmas: In the lab of Shakashiri,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/8/2002,0.041666667,,1 inch videotape,,Chemistry Christmas show 2,"Once upon a Christmas cheery, in the lab of Shakashiri"
3/25/1991,0:52:55,,1 inch videotape,,Shakashiri chemical demo reel 1,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/16/1992,0:56:40,,1 inch videotape,,Chemistry Christmas: Shakashiri Christmas lecture,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/17/1991,1:05:10,,1 inch videotape,,Chemistry Christmas,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/11/1990,0:59:10,,1 inch videotape,,Chemistry Christmas special,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/8/1987,1:29:25,,1 inch videotape,,Chemistry remote,"Once upon a Christmas cheery, in the lab of Shakashiri"
1998,0:56:46,,1 inch videotape,,,"Once upon a Christmas cheery, in the lab of Shakashiri"
12/11/1990,0:59:06,,3/4 inch videotape,,Chemistry Christmas special,"Once upon a Christmas cheery, in the lab of Shakishiri"
12/18/1991,,,Betacam SP,,Safety master: Linda Friend,OnTV
1/2/1992,0.041666667,,Betacam SP,,Safety master: Art Hackett,OnTV
1/2/1992,,,Betacam SP,,Safety master: Debra Mims,OnTV
4/14/1992,0:30:00,,1 inch videotape,,Imagine,OnTV
1991/1992,0:05:00,,1 inch videotape,,Opens and bumpers,OnTV
12/10/1991,0:30:00,,1 inch videotape,,"Work tape: Wisconsin Magazine, ice harvest,",OnTV
1991/1992,0.041666667,,1 inch videotape,,Black and time coded,OnTV
1/10/1992,0.041666667,,Betacam SP,,Segment master,OnTV
1991/1992,,,,,Concrete Deer; Skyscraper,OnTV
1991/1992,0:30:00,12/18/2013,3/4 inch videotape,,Shelter stories,OnTV
1991/1992,0:30:00,,3/4 inch videotape,,Shirley's shop,OnTV
1991/1992,0:30:00,,3/4 inch videotape,,Wiscon,OnTV
11/8/1991,0:30:00,,VHS,,Carillon 1,OnTV
11/8/1991,0:30:00,,VHS,,Carillon 2,OnTV
3/31/1992,0:30:00,,VHS,,Where eagles dine,OnTV
1/10/1992,0:30:00,,Betacam SP,,Liz Koerner dub,OnTV
1991/1992,0:08:30,,Betacam SP,,The Great pretender,OnTV
2/6/1992,0:30:00,,3/4 inch videotape,,Carillon 4,OnTV
1991/1992,0:30:00,,3/4 inch videotape,,Xu Bing,OnTV
1991/1992,0:30:00,1/10/2014,3/4 inch videotape,,Concrete Deer; Skyscraper,OnTV
10/18/1991,0:30:00,,3/4 inch videotape,,Barbara Leigh Mims 1 [Mims Barbara Leigh],OnTV
10/18/1991,0:30:00,,3/4 inch videotape,,Barbara Leigh Mims 2 [Barbara Leigh],OnTV
11/5/1991,0:30:00,,3/4 inch videotape,,Survival 15,OnTV
11/5/1991,0:30:00,,3/4 inch videotape,,Survival 11,OnTV
11/5/1991,0:30:00,,3/4 inch videotape,,Survival 14,OnTV
11/5/1991,0:30:00,,3/4 inch videotape,,Survival 13,OnTV
11/5/1991,0:30:00,,3/4 inch videotape,,Survival 6,OnTV
10/18/1991,0:30:00,,3/4 inch videotape,,Barbara Leigh Mims 3 [Mims Barbara Leigh],OnTV
11/5/1991,0:30:00,,3/4 inch videotape,,Survival 12,OnTV
4/7/1991,0:30:00,,Betacam SP,,Wolfman,OnTV
1991/1992,0:30:00,,Betacam SP,,Yellow and black,OnTV
1991/1992,0:30:00,,Betacam SP,,Band organs,OnTV
1991/1992,0:30:00,,Betacam SP,,Brooks Stevens styled to sell,OnTV
1991/1992,0:30:00,,Betacam SP,,"Fish tracker, 3",OnTV
1991/1992,0:30:00,,Betacam SP,,Play a man,OnTV
1991/1992,0:30:00,,Betacam SP,,Intensive therapy,OnTV
1991/1992,0:30:00,,Betacam SP,,"Fish tracker, 1-2",OnTV
2/12/1992,0:30:00,,3/4 inch videotape,,"Homeless field tapes, 4-5",OnTV
2/12/1992,0:30:00,,3/4 inch videotape,,"Homeless field tapes, part 1",OnTV
2/12/1992,0:30:00,,3/4 inch videotape,,"Homeless field tapes, part 2",OnTV
n.d.,0:04:50,12/3/2013,3/4 inch videotape,,Harry Whitehorse: Effigy tree,OnTV
1/22/1992,0:30:00,,3/4 inch videotape,,"Elevehjem installation, tape 7, part 2 of 2",OnTV
1/22/1992,0:30:00,,3/4 inch videotape,,"Elevehjem installation, tape 7, part 1 of 2",OnTV
1/22/1992,0:30:00,,3/4 inch videotape,,"Elevehjem installation, tapes 8-9",OnTV
1/22/1992,0:30:00,,3/4 inch videotape,,"Elevehjem installation, tape 5",OnTV
1/22/1992,0:30:00,,3/4 inch videotape,,"Elevehjem installation, HI-8 dubs",OnTV
1/22/1992,0:30:00,,3/4 inch videotape,,"Elevehjem installation, tape 6",OnTV
n.d.,,,,,Harry Whitehorse: Effigy tree,OnTV
1992-04,0:15:00,,Betacam SP,,Mustard man,OnTV
1991/1992,,,,,Concrete Deer; Skyscraper,OnTV
1991/1992,,,,,Shelter stories,OnTV
1991/1992,,,,,Shelter stories,OnTV
12/16/2006,0.041666667,,DVCPRO50,,Democracy it is! compilation reel 1,OnTV
1/1/2006,0.041666667,,DVCPRO50,,Democracy it is! compilation reel 2,OnTV
1991,0:30:00,,3/4 inch videotape,100,,OnTV
1991,0:30:00,12/3/2013,Betacam SP,100B,Pilot,OnTV
.,,,,100B,OnTV Pilot,OnTV
1991,,,,100B,OnTV Pilot,OnTV
11/8/1991,0:27:45,,VHS,101,,OnTV
11/20/1991,0:27:35,,3/4 inch videotape,101,[revised],OnTV
4/13/1992,,,,101,revised,OnTV
4/13/1992,,,,101,revised,OnTV
4/13/1992,0:30:00,12/1/2013,3/4 inch videotape,101,revised,OnTV
4/13/1992,0:30:00,,3/4 inch videotape,102,revised,OnTV
4/13/1992,0:30:00,12/1/2013,DVCPRO,102,revised,OnTV
